"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","audio","audio_example","rank"
"flad","platt (flat)","adj","","","","praksis-adjektiver-form-b1","b1","","","audio/da-0691ce22d087ef.mp3","","4234"
"gammel","gammal","adj","Hvor gammel er din lillebror nu?","Hur gammal är din lillebror nu?","","praksis-adjektiver-tid-b1","b1","","","audio/da-1a1f26b01c49a0.mp3","","419"
"svær","svår","adj","","","","praksis-adjektiver-svaerhed-b1","b1","","","audio/da-1a8d05581558fd.mp3","","2043"
"rask","rask (snabb, kvick)","adj","","","","praksis-adjektiver-fart-b1","b1","","","audio/da-162172c50fb177.mp3","","1994"
"smagløs","smaklös","adj","","","","praksis-adjektiver-smag-b1","b1","","","audio/da-0788f8a2680fa1.mp3","","42272"
"i stykker","sönder, trasig","adj","","","","praksis-adjektiver-tilstand-b1","b1","","","audio/da-1125c8958b4f1c.mp3","",""
"generøs","generös","adj","","","","praksis-adjektiver-social-b2","b2","","gavmild","audio/da-0e805dfe7995d4.mp3","","10640"
"træt","trött","adj","Jeg er så træt efter arbejde i dag.","Jag är så trött efter jobbet i dag.","","praksis-adjektiver-tilstand-b1","b1","","","audio/da-0eedbd2fc570b8.mp3","","632"
"mad","mat","noun","Skal vi lave mad sammen i aften?","Ska vi laga mat tillsammans ikväll?","","praksis-mad-grund-b1","b1","","","audio/da-1a05210eb2ca38.mp3","","427"
"pære","päron","noun","","","","praksis-mad-frugt-groent-b1","b1","","","audio/da-034e4c868fa9d1.mp3","","14241"
"oksekød","nötkött","noun","","","","praksis-mad-koed-fisk-b1","b1","","","audio/da-1884a9e51a4e95.mp3","","14120"
"franskbrød","vetebröd (vitt formbröd)","noun","","","","praksis-mad-bagvaerk-b1","b1","","","audio/da-050ca040d44fb3.mp3","","44549"
"drikkevarer","drycker","noun","","","","praksis-drikke-b1","b1","","","audio/da-157edc754474be.mp3","","14193"
"gryde","gryta (kastrull)","noun","","","","praksis-koekken-redskaber-b1","b1","","","audio/da-0a1e6b71ce9ed9.mp3","","15747"
"flødeskum","vispad grädde","noun","","","","praksis-maaltider-restaurant-b2","b2","","","audio/da-1683d35fa18bfb.mp3","","16509"
"værelse","rum","noun","","","","praksis-hus-rum-b1","b1","","","audio/da-0c517e4f1888b0.mp3","","619"
"kommode","byrå","noun","","","","praksis-moebler-b2","b2","","","audio/da-158dd0f539ffd0.mp3","","22603"
"støvsuger","dammsugare","noun","","","","praksis-husholdning-ting-b1","b1","","","audio/da-197b1d86a1e3ba.mp3","","16178"
"støv","damm","noun","","","","praksis-rengoering-b1","b1","","","audio/da-09fdabc7e1c7c2.mp3","","4991"
"tøj","kläder","noun","Jeg skal købe noget nyt tøj til sommeren.","Jag ska köpa lite nya kläder till sommaren.","","praksis-toej-b1","b1","","","audio/da-00b091b6252cc4.mp3","","647"
"hjemmesko","toffel","noun","","","","praksis-sko-tilbehoer-b1","b1","","","audio/da-1e2cb784679c27.mp3","","34941"
"hoved","huvud","noun","","","","praksis-krop-ydre-b1","b1","","","audio/da-198b138fdc9c66.mp3","","629"
"nyre","njure","noun","","","","praksis-krop-indre-b1","b1","","","audio/da-0da1bb9644dcfc.mp3","","7290"
"sygdom","sjukdom","noun","","","","praksis-sundhed-sygdom-b1","b1","","","audio/da-03d94760ca66a3.mp3","","2172"
"recept","recept (för medicin)","noun","","","","praksis-medicin-laege-b1","b1","","","audio/da-19088312a8f8c2.mp3","","8224"
"dreng","pojke (gosse)","noun","Vores nabo har en dreng på fem år.","Vår granne har en pojke på fem år.","","praksis-familie-b1","b1","","","audio/da-060c2d94840ac6.mp3","","392"
"veninde","väninna","noun","","","","praksis-relationer-b1","b1","","","audio/da-1edc7023698cbc.mp3","","1832"
"vrede","ilska (vrede)","noun","","","","praksis-foelelser-navne-b1","b1","","","audio/da-0b5c553f3d90dd.mp3","","1480"
"dygtighed","skicklighet","noun","","","","praksis-personlighed-navne-b1","b1","","","audio/da-19ff94611335a9.mp3","","16374"
"arbejde","arbeta","verb","Han skal arbejde hele weekenden.","Han ska jobba hela helgen.","","praksis-arbejde-kontor-b1","b1","","","audio/da-1b6016623c5814.mp3","","198"
"dyrlæge","veterinär","noun","","","","praksis-erhverv-jobs-b2","b2","","","audio/da-1740afa598e0a7.mp3","","10127"
"folkeskole","grundskola","noun","","","","praksis-skole-uddannelse-b1","b1","","","audio/da-10495d2567aee3.mp3","","24856"
"semester","termin (akademisk)","noun","","","","praksis-universitet-fag-b1","b1","falsk-ven","","audio/da-1f31adc72dec4e.mp3","","9960"
"penge","pengar","noun","Jeg har ikke penge nok til billetten.","Jag har inte tillräckligt med pengar till biljetten.","","praksis-penge-oekonomi-b1","b1","","","audio/da-10c5266aaddaf3.mp3","","203"
"indbetale","sätta in (pengar)","verb","","","","praksis-bank-finans-b1","b1","","indsætte","audio/da-0ed503965c5f91.mp3","",""
"indkøb","inköp (handla)","noun","","","","praksis-indkoeb-butik-b1","b1","","","audio/da-05c36176f68765.mp3","","8920"
"tog","tåg","noun","","","","praksis-transport-koeretoejer-b1","b1","","","audio/da-04899ae550f1cb.mp3","","170"
"lyskryds","trafikljuskorsning","noun","","","","praksis-trafik-vej-b2","b2","","","audio/da-0e85d17251903b.mp3","","35037"
"rejse","resa","noun","Vi planlægger en lang rejse til Asien næste sommer.","Vi planerar en lång resa till Asien nästa sommar.","","praksis-rejse-turisme-b1","b1","","","audio/da-150918932f7905.mp3","","597"
"sommerhus","sommarstuga","noun","","","","praksis-ferie-fritid-b1","b1","","","audio/da-020f17a9a088e9.mp3","","11699"
"sø","sjö","noun","","","","praksis-natur-landskab-b1","b1","","","audio/da-11f1156991d03f.mp3","","5356"
"vejr","väder","noun","","","","praksis-vejr-klima-b1","b1","","","audio/da-035c8359f61229.mp3","","4091"
"hvalp","valp","noun","","","","praksis-dyr-husdyr-b1","b1","","","audio/da-1351503ca04e32.mp3","","6601"
"egern","ekorre","noun","","","","praksis-dyr-vilde-b1","b1","","","audio/da-0c04cbc018b594.mp3","","6798"
"fugl","fågel","noun","","","","praksis-fugle-insekter-b1","b1","","","audio/da-0e9b9eed276053.mp3","","2418"
"vande","vattna","verb","","","","praksis-planter-have-b1","b1","","","audio/da-04d022d73b3ea5.mp3","","9211"
"torv","torg","noun","","","","praksis-by-bygninger-b1","b1","","","audio/da-11538d84215b32.mp3","","29235"
"jernbane","järnväg","noun","","","","praksis-infrastruktur-b1","b1","","","audio/da-1ed7f83546b2f0.mp3","","10417"
"computer","dator","noun","","","","praksis-teknologi-computer-b1","b1","","","audio/da-1dde4846076937.mp3","","1611"
"søgemaskine","sökmotor","noun","","","","praksis-internet-medier-b1","b1","","","audio/da-14025c204dce55.mp3","",""
"telefonsvarer","telefonsvarare","noun","","","","praksis-telefon-komm-b1","b1","","","audio/da-059d6bb1d6699c.mp3","","8508"
"nyhed","nyhet","noun","","","","praksis-nyheder-aviser-b1","b1","","","audio/da-10500af13fa033.mp3","","2445"
"uge","vecka","noun","Vi ses igen om en uge, ikke?","Vi ses igen om en vecka, va?","","praksis-tid-kalender-b1","b1","","","audio/da-139ff8885a58da.mp3","","475"
"hverdag","vardag","noun","","","","praksis-ugedage-saesoner-b1","b1","","","audio/da-0724321cff958a.mp3","","12698"
"gå en tur","ta en promenad","phrase","","","","praksis-sport-motion-b1","b1","","","audio/da-148ee48b02b664.mp3","",""
"gætteleg","gissningslek","noun","","","","praksis-hobby-spil-b2","b2","","","audio/da-1a5aff6e3f873c.mp3","","43783"
"trommer","trummor","noun","","","","praksis-musik-instrumenter-b1","b1","","","audio/da-023ee7bff6b9a5.mp3","","10755"
"maleri","målning (tavla)","noun","","","","praksis-kunst-kultur-b1","b1","","","audio/da-0d72bc96385037.mp3","","4708"
"instruere","regissera","verb","","","","praksis-film-teater-b2","b2","","","audio/da-056624a8af54f1.mp3","","17469"
"skrive","skriva","verb","Kan du skrive dit navn her på listen?","Kan du skriva ditt namn här på listan?","","praksis-boeger-litteratur-b1","b1","","","audio/da-042456370bd97e.mp3","","683"
"tyveri","stöld","noun","","","","praksis-lov-kriminalitet-b1","b1","","","audio/da-16126239901433.mp3","","5216"
"valg","val (riksdagsval)","noun","Hvem stemte du på ved valget i november?","Vem röstade du på i valet i november?","","praksis-politik-samfund-b1","b1","","valget","audio/da-11cb01ec0779f9.mp3","","516"
"forvaltning","förvaltning","noun","","","","praksis-stat-forvaltning-b2","b2","","","audio/da-1613195023b645.mp3","","36630"
"videnskab","vetenskap","noun","","","","praksis-videnskab-forskning-b1","b1","","","audio/da-0e22e730c2f26a.mp3","","3944"
"tal","tal (siffra/nummer)","noun","Tænk på et tal mellem nul og hundrede.","Tänk på ett tal mellan noll och hundra.","","praksis-matematik-tal-b1","b1","","","audio/da-1151e753225c21.mp3","","682"
"sjæl","själ","noun","Musik er godt for både krop og sjæl.","Musik är bra för både kropp och själ.","","praksis-religion-tro-b1","b1","","","audio/da-09a4d0639585c9.mp3","","1129"
"begreb","begrepp","noun","","","","praksis-abstrakte-begreber-b1","b1","","","audio/da-0ecfc6cc32c995.mp3","","13013"
"skind","skinn (päls/hud)","noun","","","","praksis-materialer-stoffer-b1","b1","","","audio/da-1663e3d530cb09.mp3","","7242"
"skruetrækker","skruvmejsel","noun","","","","praksis-vaerktoej-diy-b1","b1","","","audio/da-0ba93972c3860a.mp3","","12859"
"byggeri","byggande (bygge)","noun","","","","praksis-byggeri-b1","b1","","","audio/da-00d51ab8b46274.mp3","","19659"
"ager","åker","noun","","","","praksis-landbrug-b2","b2","","mark","audio/da-130aeb2c301126.mp3","",""
"mål","mått","noun","Har du taget mål af vinduet til gardinerne?","Har du tagit mått på fönstret till gardinerna?","","praksis-maal-vaegt-b1","b1","","","audio/da-1d14d1f2190936.mp3","","987"
"venstre","vänster","adj","Du skal dreje til venstre ved kirken.","Du ska svänga till vänster vid kyrkan.","","praksis-retninger-placering-b1","b1","","","audio/da-17d46e77cc5a42.mp3","","718"
"knægt","pojke (grabb)","noun","Han er en sød knægt på ti år.","Han är en snäll grabb på tio år.","","praksis-samfundsgrupper-b2","b2","","dreng","audio/da-1f549a491869da.mp3","","747"
"med det samme","med en gång","phrase","","","","praksis-adverbier-tid-b1","b1","","","audio/da-0d89c1da4d2161.mp3","",""
"sådan","så här (på det sättet)","adv","Du skal holde kniven sådan her.","Du ska hålla kniven så här.","","praksis-adverbier-maade-b1","b1","","","audio/da-129295cde5a67b.mp3","","110"
"meget","mycket","adv","Tak, det betyder virkelig meget for mig.","Tack, det betyder verkligen mycket för mig.","","praksis-adverbier-grad-b1","b1","","","audio/da-1e1ca1e91642ef.mp3","","74"
"herhenne","här borta","adv","","","","praksis-adverbier-sted-b1","b1","","","audio/da-1702e0124787fc.mp3","","8617"
"hos","hos (hemma hos)","other","Vi spiser hos mine forældre i aften.","Vi äter hos mina föräldrar i kväll.","","praksis-forholdsord-b1","b1","","","audio/da-188e8a1eae29f2.mp3","","239"
"fordi","därför att (eftersom)","other","Jeg blev hjemme, fordi jeg var syg.","Jag stannade hemma eftersom jag var sjuk.","","praksis-bindeord-diskurs-b1","b1","","","audio/da-0ce286abbcb8a8.mp3","","126"
"hvad","vad","other","Hvad skal vi lave i weekenden?","Vad ska vi göra i helgen?","","praksis-spoergeord-pron-b1","b1","","Hvad","audio/da-0ea3bdf11fbb19.mp3","","14"
"jo","ju (jo)","other","Jo, jeg kan faktisk godt lide fisk.","Jo, jag gillar faktiskt fisk.","","praksis-smaaord-fyldord-b1","b1","","Jo","audio/da-16823226701e09.mp3","","91"
"snart","snart (inom kort)","adv","Vi er der snart, bare ti minutter mere.","Vi är snart framme, bara tio minuter till.","","praksis-adverbier-tid-b1","b1","","","audio/da-066e96f5c6f0f0.mp3","","256"
"more","roa","verb","","","","praksis-falske-venner-verber-b2","b2","falsk-ven","","audio/da-059f07f69e9bff.mp3","","2673"
"told","tull","noun","","","","praksis-falske-venner-navne-b2","b2","","","audio/da-027dba31f48030.mp3","","17822"
"billig","billig (även rimlig)","adj","","","","praksis-falske-venner-adj-b1","b1","","","audio/da-0c381fe0f4e966.mp3","","3981"
"stå op","gå upp (stiga upp)","phrase","","","","praksis-hverdag-rutiner-b1","b1","","","audio/da-07664e2c53d6da.mp3","",""
"nervøs","nervös","adj","Jeg er altid nervøs før en vigtig samtale.","Jag är alltid nervös inför ett viktigt samtal.","","praksis-foelelser-udtryk-b1","b1","","","audio/da-09c582e811253b.mp3","","1084"
"nikke","nicka","verb","","","","praksis-kropssprog-b1","b1","","","audio/da-00330bacf3f474.mp3","","20538"
"larm","oväsen (buller)","noun","","","","praksis-lyde-stoej-b1","b1","","","audio/da-0056aa72a4a66c.mp3","","4504"
"ligge","ligga","verb","Du skal bare ligge stille og slappe af.","Du ska bara ligga stilla och slappna av.","","praksis-positioner-b1","b1","","","audio/da-1383a33d6b64ad.mp3","","1141"
"purløg","gräslök","noun","","","","praksis-mad-avanceret-b2","b2","","","audio/da-0b9e180fadf12b.mp3","","46769"
"lønforhøjelse","löneförhöjning","noun","","","","praksis-arbejde-b2","b2","","","audio/da-08741ee5273ab8.mp3","","8985"
"udregning","beräkning (uträkning)","noun","","","","praksis-videnskab-b2","b2","","beregning","audio/da-036f0f43f5708c.mp3","",""
"anke","överklaga","verb","","","","praksis-lov-b2","b2","","","audio/da-1e0af82bca928f.mp3","","26741"
"lovforslag","lagförslag","noun","","","","praksis-politik-b2","b2","","","audio/da-04a033a9e6511b.mp3","","13030"
"å","å (mindre flod)","noun","","","","praksis-natur-b2","b2","","","audio/da-1745f115663155.mp3","","8141"
"vorte","vårta","noun","","","","praksis-sundhed-b2","b2","","","audio/da-1eca3ee6df98e2.mp3","","36128"
"indkomst","inkomst","noun","","","","praksis-oekonomi-b2","b2","","","audio/da-1b6195788b03a3.mp3","","11280"
"ked af det","ledsen","phrase","","","","praksis-foelelser-b1","b1","","","audio/da-1c56eff4127bc0.mp3","",""
"opladning","laddning (batteri)","noun","","","","praksis-teknologi-b2","b2","","","audio/da-1b22cec73bbdda.mp3","","42096"
"billedkunst","bildkonst","noun","","","","praksis-kultur-b2","b2","","","audio/da-186badc782fad8.mp3","","46393"
"erkendelse","insikt (erkännande)","noun","","","","praksis-abstrakt-b2","b2","","","audio/da-13e9c142e4212c.mp3","","26617"
"antyde","antyda","verb","","","","praksis-kommunikation-b2","b2","","","audio/da-1fd7dca75b7f35.mp3","","16846"
"forælder","förälder","noun","","","","praksis-samfund-b1","b1","","","audio/da-0d9d9a10bea883.mp3","","6252"
"køb","köp","noun","","","","praksis-handel-b1","b1","","","audio/da-1b29e3fe26f540.mp3","","2397"
"holdundervisning","gruppundervisning","noun","","","","praksis-uddannelse-b2","b2","","","audio/da-1d9d6719b76ed1.mp3","",""
"følelse","känsla","noun","","","","praksis-psykologi-b1","b1","","","audio/da-1e4d665b7c9ca6.mp3","","2343"
"forstand","förstånd","noun","","","","praksis-filosofi-b2","b2","","","audio/da-0ac8316506cabc.mp3","","4095"
"samtid","samtid (nutid)","noun","","","","praksis-historie-b2","b2","","","audio/da-07766a1bc65767.mp3","",""
"strand","strand (badstrand)","noun","","","","praksis-geografi-b1","b1","","","audio/da-05365389496d3c.mp3","","5803"
"tordenvejr","åskväder","noun","","","","praksis-vejr-b1","b1","","","audio/da-1fbb5d8965ef23.mp3","","20659"
"led","led (kroppsled)","noun","","","","praksis-krop-b1","b1","","","audio/da-03b05206356813.mp3","","1542"
"bage","baka","verb","","","","praksis-foedevarer-b1","b1","","","audio/da-0dbd9767dcfccc.mp3","","7180"
"arbejdstager","arbetstagare","noun","","","","praksis-arbejdsmarked-b2","b2","","","audio/da-17960f31bab63d.mp3","",""
"lejer","hyresgäst","noun","","","","praksis-bolig-b1","b1","","","audio/da-0a0bfab9b4b7f3.mp3","","5778"
"miljø","miljö","noun","","","","praksis-miljoe-b1","b1","","","audio/da-0adfe887d7e785.mp3","","6206"
"køle","kyla","verb","","","","praksis-energi-b1","b1","","afkøle","audio/da-0b715ef53dd657.mp3","","9990"
"kro","värdshus","noun","","","","praksis-rejse-b2","b2","","","audio/da-037a99d8e13ed8.mp3","","13355"
"telt","tält","noun","","","","praksis-fritid-b1","b1","","","audio/da-1214f0ab931e08.mp3","","5562"
"ven","vän","noun","Min bedste ven bor i Aarhus nu.","Min bästa vän bor i Århus nu.","","praksis-relationer-b1","b1","","","audio/da-085d811fcb86f4.mp3","","207"
"nogle gange","ibland (några gånger)","adv","","","","praksis-tid-b1","b1","","undertiden|sommetider","audio/da-04a7387206aee1.mp3","",""
"fukssvans","fogsvans (handsåg)","noun","","","","praksis-snedker-toemrer-b2","b2","","","audio/da-1e567f7397135e.mp3","",""
"mørtel","murbruk","noun","","","","praksis-murer-b2","b2","","","audio/da-1e0716ad76c413.mp3","",""
"vvs-installatør","rörmokare (VVS-installatör)","noun","","","","praksis-vvs-blik-b2","b2","","blikkenslager|vvs-mand","audio/da-03e6f87e9fef89.mp3","",""
"gruppetavle","gruppcentral","noun","","","","praksis-elektriker-b2","b2","","","audio/da-160449f21f65ed.mp3","",""
"pensel","pensel/målarpensel","noun","","","","praksis-maler-dekoration-b1","b1","","","audio/da-1eb9f2929e1fba.mp3","","30021"
"udstødning","avgassystem (avgasrör)","noun","","","","praksis-mekaniker-b2","b2","","","audio/da-0d70c635534907.mp3","","31842"
"smedje","smedja","noun","","","","praksis-smed-metal-b2","b2","","","audio/da-1434d1faee66ec.mp3","",""
"skrædder","skräddare","noun","","","","praksis-syning-skraedder-b1","b1","","","audio/da-0307679fbd7d03.mp3","","15928"
"barbermaskine","rakapparat","noun","","","","praksis-frisoer-b1","b1","","","audio/da-16c7d273420244.mp3","","46835"
"stikling","sticklin (för förökning)","noun","","","","praksis-gartner-detalje-b2","b2","","","audio/da-16ddb6e344dbc2.mp3","",""
"konditori","konditori (bageributik med kakor)","noun","","","","praksis-bager-konditor-b1","b1","","","audio/da-1a20e5f42c15e7.mp3","",""
"flæskesvær","fläsksvål (knaprig)","noun","","","","praksis-slagter-b2","b2","","","audio/da-07679fef3bc6c7.mp3","","38172"
"medefiskeri","metefiske","noun","","","","praksis-fisker-b2","b2","","","audio/da-177ab18a3679ac.mp3","",""
"udsæd","utsäde","noun","","","","praksis-landmand-detalje-b2","b2","","","audio/da-13d7e1015142ee.mp3","",""
"nellike","kryddnejlika","noun","","","","praksis-krydderier-b2","b2","","","audio/da-1dd97d79c76d87.mp3","",""
"salvie","salvia","noun","","","","praksis-urter-b2","b2","","","audio/da-0b6a81583f4e4b.mp3","","33920"
"kantarel","kantarell","noun","","","","praksis-svampe-b1","b1","","","audio/da-0661ef463921c4.mp3","",""
"pistacie","pistaschmandel","noun","","","","praksis-noedder-froe-b2","b2","","","audio/da-0bf89f44395b8c.mp3","","45736"
"tykmælk","filmjölk (tjock surmjölk)","noun","","","","praksis-mejeri-detalje-b1","b1","","","audio/da-06ef451f2fe555.mp3","",""
"hamburgerryg","rökt kotlettrad (kassler)","noun","","","","praksis-paalaeg-b2","b2","","","audio/da-194132a1f1c65a.mp3","",""
"rødgrød","rödgröt (bärgröt)","noun","","","","praksis-kager-desserter-b2","b2","","","audio/da-00574477d0c9da.mp3","",""
"sammenkogt ret","gryta (sammankokt rätt)","noun","","","","praksis-supper-gryder-b2","b2","","","audio/da-184039cc394866.mp3","",""
"brun sovs","brunsås","phrase","","","","praksis-saucer-dressing-b1","b1","","","audio/da-1438f1f2f2ab5f.mp3","",""
"henkogning","inkokning (konservering på glas)","noun","","","","praksis-konserves-holdbar-b2","b2","","","audio/da-1fcc5b4bd92e26.mp3","",""
"ask","ask (träd)","noun","","","","praksis-traeer-arter-b2","b2","","","audio/da-1dff757d5de59c.mp3","","34431"
"bellis","tusensköna","noun","","","","praksis-blomster-arter-b2","b2","","","audio/da-049bcc421d77e6.mp3","",""
"hornfisk","horngädda (näbbgädda)","noun","","","","praksis-fisk-arter-b2","b2","","","audio/da-0b167617d97958.mp3","",""
"humlebi","humla","noun","","","","praksis-insekter-arter-b2","b2","","","audio/da-00b3e9ccb49e4a.mp3","",""
"sangdrossel","taltrast","noun","","","","praksis-fugle-arter-b2","b2","","","audio/da-08379708d39d29.mp3","",""
"haglvejr","hagelväder","noun","","","","praksis-vejrfaenomener-b2","b2","","","audio/da-093a49e4a321b7.mp3","",""
"flint","flinta","noun","","","","praksis-geologi-mineraler-b1","b1","","","audio/da-0a4c391806cc7d.mp3","","6022"
"kær","kärr","noun","","","","praksis-vand-hav-b2","b2","","","audio/da-01b17ef2214d11.mp3","","7301"
"stjerneskud","stjärnfall (meteor)","noun","","","","praksis-astronomi-himmel-b2","b2","","","audio/da-1810a9824c1806.mp3","","20122"
"kraniet","kraniet (skallen)","noun","","","","praksis-skelet-knogler-b2","b2","","","audio/da-13fd97639e55b6.mp3","","6211"
"lyske","ljumske","noun","","","","praksis-muskler-led-b2","b2","","","audio/da-1ee5f1aa402b52.mp3","",""
"fåresyge","påssjuka","noun","","","","praksis-sygdomme-konkrete-b2","b2","","","audio/da-0a2f8ac6529e65.mp3","","36330"
"øm","öm (ömtålig vid beröring)","adj","","","","praksis-symptomer-detalje-b1","b1","","","audio/da-0ebbf211f6d5ae.mp3","","7456"
"skadestue","akutmottagning","noun","","","","praksis-hospital-afdeling-b1","b1","","","audio/da-03f9f9757ed2c7.mp3","","16046"
"hjørnetand","hörntand","noun","","","","praksis-tandlaege-b2","b2","","","audio/da-1fe46b6bdebba1.mp3","",""
"trivsel","välbefinnande (trivsel)","noun","","","","praksis-mental-sundhed-b2","b2","","","audio/da-013e1edf46d5db.mp3","","41204"
"fødsel","förlossning","noun","","","","praksis-graviditet-foedsel-b1","b1","","","audio/da-1db30048dcefde.mp3","","6136"
"tilskadekommen","skadad person","noun","","","","praksis-foerstehjaelp-b2","b2","","","audio/da-037e035c8702f1.mp3","",""
"vaskeklud","tvättlapp","noun","","","","praksis-badevaerelse-b1","b1","","","audio/da-150f1d911d1730.mp3","",""
"sengetæppe","överkast","noun","","","","praksis-sovevaerelse-b2","b2","","","audio/da-134804650fe765.mp3","",""
"skovl","spade/skyffel","noun","","","","praksis-have-redskaber-b1","b1","","","audio/da-1d1356336ced36.mp3","","9347"
"lyspære","glödlampa","noun","","","","praksis-belysning-b1","b1","","","audio/da-1642b74b84f0e9.mp3","",""
"loftbjælke","takbjälke","noun","","","","praksis-gulv-vaeg-loft-b2","b2","","","audio/da-057f4c8638164e.mp3","",""
"rude","fönsterruta","noun","","","","praksis-vinduer-doere-b1","b1","","","audio/da-10cde6ad3ef95d.mp3","","16796"
"varmeapparat","värmeaggregat","noun","","","","praksis-opvarmning-b2","b2","","","audio/da-0c432a9e5f7fa9.mp3","",""
"dunk","dunk (plastbehållare)","noun","","","","praksis-opbevaring-b1","b1","","","audio/da-0b51ef065e91a6.mp3","","18473"
"bagrude","bakruta","noun","","","","praksis-bilens-dele-b2","b2","","","audio/da-0fad540889a32f.mp3","",""
"forgaffel","framgaffel","noun","","","","praksis-cykel-dele-b2","b2","","","audio/da-0c0a624dfa9dc6.mp3","",""
"knaphul","knapphål","noun","","","","praksis-toej-detaljer-b1","b1","","","audio/da-17a566f7e7cde0.mp3","",""
